Name,URI,TotalCommits,BugFixingCommits,NumberAuthors,NumberFiles,LinesOfCode,Stargazers,DownloadsLastMonth,LastCommit,FirstCommit
popcorn-desktop,https://github.com/popcorn-official/popcorn-desktop.git,5142,1401,255,75,15436,10,-1,Sat Jul 11 23:11:10 PDT 2015,Wed Feb 19 08:28:42 PST 2014
tagspaces,https://github.com/tagspaces/tagspaces.git,2233,226,8,553,195883,554,-1,Thu Jul 30 04:57:54 PDT 2015,Fri Nov 23 09:06:49 PST 2012
newww,https://github.com/npm/newww.git,2154,358,54,215,17098,382,-1,Thu Jul 30 12:20:55 PDT 2015,Fri May 16 15:12:47 PDT 2014
KiwiIRC,https://github.com/prawnsalad/KiwiIRC.git,2000,300,47,147,19907,604,-1,Wed Mar 25 06:18:33 PDT 2015,Tue Jul 12 13:21:53 PDT 2011
strider,https://github.com/Strider-CD/strider.git,1860,308,53,135,60151,2471,-1,Thu Jul 23 17:20:36 PDT 2015,Wed Oct 17 13:05:57 PDT 2012
mediacenterjs,https://github.com/jansmolders86/mediacenterjs.git,1763,412,33,116,39497,912,-1,Wed May 27 03:47:05 PDT 2015,Thu Jan 24 03:26:15 PST 2013
shields,https://github.com/badges/shields.git,840,104,104,11,4634,1758,-1,Mon Jul 27 00:39:57 PDT 2015,Thu Jan 02 05:23:41 PST 2014
Gisto,https://github.com/Gisto/Gisto.git,779,325,7,40,3297,265,-1,Sun Jul 12 13:31:25 PDT 2015,Sun Mar 24 14:34:28 PDT 2013
david-www,https://github.com/alanshaw/david-www.git,671,119,20,61,5037,276,-1,Wed Jul 22 05:33:04 PDT 2015,Fri Jan 25 08:53:11 PST 2013
git-watcher,https://github.com/demian85/git-watcher.git,443,42,2,10,2434,128,-1,Tue Apr 07 17:09:53 PDT 2015,Sat Jan 11 18:04:56 PST 2014
soundnode-app,https://github.com/Soundnode/soundnode-app.git,412,95,18,39,10035,284,-1,Sun Jul 19 17:09:30 PDT 2015,Fri Apr 25 12:30:09 PDT 2014
