Name,URI,TotalCommits,BugFixingCommits,NumberAuthors,NumberFiles,LinesOfCode,Stargazers,DownloadsLastMonth,LastCommit,FirstCommit
angular.js,https://github.com/angular/angular.js.git,6961,2759,1424,1086,202688,41453,259815,Sun Aug 09 04:03:48 PDT 2015,Wed Dec 31 16:00:01 PST 1969
jquery,https://github.com/jquery/jquery.git,5882,2499,281,173,38664,35515,517924,Tue Jan 15 21:14:57 PST 2013,Tue Mar 21 19:33:07 PST 2006
mongoose,https://github.com/Automattic/mongoose.git,5182,1321,242,278,73729,7357,535591,Mon Aug 10 12:43:09 PDT 2015,Tue Apr 06 14:43:02 PDT 2010
sequelize,https://github.com/sequelize/sequelize.git,6335,1266,401,163,47612,4284,101219,Mon Aug 10 13:42:22 PDT 2015,Thu Jul 22 12:25:24 PDT 2010
react,https://github.com/facebook/react.git,5030,1069,563,329,69095,26160,424355,Mon Aug 10 17:49:31 PDT 2015,Wed May 29 12:46:11 PDT 2013
coffeescript,https://github.com/jashkenas/coffeescript.git,4007,994,208,113,15682,11688,2885498,Tue Jul 07 21:31:23 PDT 2015,Sun Dec 13 14:07:16 PST 2009
stylus,https://github.com/stylus/stylus.git,3734,971,159,75,7798,5991,334810,Wed Aug 05 05:56:44 PDT 2015,Thu Dec 09 14:05:30 PST 2010
node-mongodb-native,https://github.com/mongodb/node-mongodb-native.git,3204,940,235,110,38315,4001,864878,Thu Aug 06 04:08:03 PDT 2015,Thu Jan 07 04:53:14 PST 2010
npm,https://github.com/npm/npm.git,6124,756,320,1255,119423,6770,2011868,Fri Aug 07 23:29:21 PDT 2015,Tue Sep 29 10:21:33 PDT 2009
sails,https://github.com/balderdashy/sails.git,5088,722,214,177,13656,11461,61507,Thu Jul 30 12:09:04 PDT 2015,Mon Jan 16 19:49:11 PST 2012
less.js,https://github.com/less/less.js.git,2450,681,224,161,17783,12625,1013583,Sun Jul 19 13:16:26 PDT 2015,Tue Feb 23 10:39:05 PST 2010
backbone,https://github.com/jashkenas/backbone.git,3085,671,305,21,17364,22647,331745,Mon Aug 10 15:07:44 PDT 2015,Thu Sep 30 12:48:05 PDT 2010
moment,https://github.com/moment/moment.git,2526,630,310,418,99408,22063,2099973,Mon Jul 27 21:39:50 PDT 2015,Mon Feb 28 18:53:16 PST 2011
jsdom,https://github.com/tmpvar/jsdom.git,2372,605,179,184,100091,4553,432442,Fri Aug 07 16:49:59 PDT 2015,Sun Jan 17 12:26:20 PST 2010
express,https://github.com/strongloop/express.git,5197,603,209,150,11598,20157,3049466,Mon Aug 10 15:46:24 PDT 2015,Fri Jun 26 11:56:18 PDT 2009
jshint,https://github.com/jshint/jshint.git,1785,581,234,164,64714,5346,1695993,Tue Aug 04 19:28:33 PDT 2015,Fri Nov 12 15:10:20 PST 2010
hapi,https://github.com/hapijs/hapi.git,4361,573,141,32,16574,4548,75272,Mon Aug 10 17:42:15 PDT 2015,Fri Aug 05 17:36:41 PDT 2011
lodash,https://github.com/lodash/lodash.git,5335,556,158,34,54092,10461,14942521,Sun Aug 09 00:09:17 PDT 2015,Sun Oct 25 11:36:12 PDT 2009
bower,https://github.com/bower/bower.git,1825,500,164,105,15765,12686,1464152,Tue Jul 28 15:02:12 PDT 2015,Thu Sep 06 17:11:42 PDT 2012
connect,https://github.com/senchalabs/connect.git,3417,500,149,6,698,5626,2866367,Fri Jul 31 12:32:17 PDT 2015,Wed May 26 12:14:18 PDT 2010
pm2,https://github.com/Unitech/pm2.git,2231,467,124,217,15243,8968,151667,Mon Aug 10 03:32:40 PDT 2015,Mon May 20 20:27:20 PDT 2013
karma,https://github.com/karma-runner/karma.git,1705,461,194,112,9976,5506,1059327,Mon Aug 10 01:06:03 PDT 2015,Wed Oct 12 00:59:30 PDT 2011
